program,threads,n,repeat,time,rc
pi_s,1,2000000000,1,8.308261,0
pi_s,1,2000000000,2,8.325036,0
pi_s,1,2000000000,3,8.410167,0
pi_p,1,2000000000,1,7.999384,0
pi_p,1,2000000000,2,8.677151,0
pi_p,1,2000000000,3,9.196035,0
pi_p,2,2000000000,1,7.449236,0
pi_p,2,2000000000,2,7.259101,0
pi_p,2,2000000000,3,6.428383,0
pi_p,4,2000000000,1,6.404285,0
pi_p,4,2000000000,2,6.366721,0
pi_p,4,2000000000,3,6.25572,0
